id,name,avg_rating,ratings_cnt
570218,Dalai Lama XIV,4.18,265319
261107,Mark W. Tiedemann,3.78,3321
3032451,Siddhartha Mukherjee,4.30,117327
6152615,Presh Talwalkar,3.90,797
7014875,Nick Offerman,3.67,56892
4864700,Will Cole,3.73,1066
3389,Stephen King,4.04,14517292
9494,H.P. Lovecraft,4.04,551123
69641,Jen Sincero,3.95,161463
5791,Max Brooks,3.98,572694
7025,Gregory Maguire,3.53,886594
3354,Haruki Murakami,3.96,2367775
7210762,Scott Carney,4.00,7318
3961,Alan Moore,4.23,1424625
735413,Ben H. Winters,3.73,101089
16247987,Paul  Shore,3.81,406
3075,John Irving,4.00,944123
9013543,Ruth Ware,3.73,929246
6480560,Rory Sutherland,4.29,2140
6252,Robert Jordan,4.18,2346850
38550,Brandon Sanderson,4.39,3486136
16094,Lois McMaster Bujold,4.17,476015
880695,H.G. Wells,3.83,1046854
12479,Timothy Zahn,4.07,376251
3441,Terry Goodkind,4.00,1002136
16667,Isaac Asimov,4.16,1987764
1069006,C.S. Lewis,4.15,5859198
656983,J.R.R. Tolkien,4.33,8476261
3312074,John N. Gray,3.89,11084
9629,Terry Brooks,3.96,790968
815,Carlos Ruiz Zafón,4.14,786016
1221698,Neil Gaiman,4.13,6077338
55727,Jonathan Haidt,4.19,74987
8588,Raymond E. Feist,4.14,819952
19109,Stephen Jay Gould,4.04,68395
740,James Altucher,3.82,19547
12521,William Goldman,4.25,811178
340262,Michael Breus,3.54,2261
3617,Diana Gabaldon,4.27,2371628
426944,T.H. White,4.01,145579
12534,Larry Niven,3.92,464655
205,Robert A. Heinlein,3.94,1100589
639570,Jean-François Revel,4.08,2087
4841825,Marion Zimmer Bradley,4.00,442373
1630,Ray Bradbury,4.01,2375724
1858,Kim Stanley Robinson,3.79,225753
31232,Steven Erikson,4.23,423172
704,Pearl S. Buck,3.99,296363
1023510,R.A. Salvatore,4.15,837239
874602,Ursula K. Le Guin,4.05,1010638
1067608,Peter S. Beagle,4.36,802064
9237,Jacqueline Carey,4.11,280010
108424,Patrick Rothfuss,4.47,1295930
2687,Dan Simmons,4.08,598038
45752,Isaiah Berlin,4.07,10491
269491,Simon Leys,3.94,2242
13975392,Sharon Guskin,3.80,27354
12476,Joe Haldeman,3.98,226578
25307,Robin Hobb,4.19,1217919
4432,Jasper Fforde,4.01,419694
16939,Michael Moorcock,3.94,246450
58,Frank Herbert,4.11,1270143
545,Neal Stephenson,4.04,813885
5807106,Iain M. Banks,4.08,361161
15590,Mary  Stewart,4.06,180705
580494,Jason Aaron,3.99,249355
10746,Jim Butcher,4.25,2467669
3619,Roger Zelazny,4.06,665365
4280,Kazuo Ishiguro,3.84,838577
311849,Norman Doidge,4.01,130287
23069,Gene Wolfe,3.97,206696
8732,David Eddings,4.07,994375
566,Paulo Coelho,3.78,3128968
5391363,Tom Wheelwright,4.15,1260
39021,Chip Heath,4.00,140687
5339,Robin McKinley,3.97,344880
10449476,Janette Sadik-Khan,4.29,1130
13199,Alain de Botton,3.88,160518
147891,Cal Newport,4.15,138615
1654,Terry Pratchett,4.15,4273266
8284103,Shawn Stevenson,4.03,4794
17833805,Bruce Sackman,3.81,52
8393515,Mark Vanhoenacker,3.95,3120
11958,James C. Scott,4.12,8642
4580218,Lyn Fuchs,3.62,26
4500913,Marshall Ulrich,3.75,2414
12076,Russell Hoban,4.17,104967
7779,Arthur C. Clarke,3.97,1088675
2001717,Daphne du Maurier,4.14,590829
5151,Azar Nafisi,3.64,126164
463,Philip Roth,3.81,403711
371383,Kathleen Dean Moore,4.12,2151
33918,China Miéville,3.86,321605
8381766,Jeffery Bagley,3.95,22
6462483,Charles V. Bagli,3.94,390
4763,John Scalzi,4.03,754191
10137,John Kay,3.87,3061
9226,William Gibson,3.89,596242
4273,Roald Dahl,4.13,3185495
65483,Richard H. Thaler,3.90,77947
5051711,Katy Bowman,4.32,4698
5626406,I.J. Kay,3.50,371
2782,Viktor E. Frankl,4.35,402256
6428649,Jeremy  Dean,3.68,2146
78286,B.K.S. Iyengar,4.28,16590
3158574,Simon Sinek,4.09,163260
17925311,Jeff Walker,3.98,2871
8842,Susanna Clarke,3.85,232161
23559,Roger MacBride Allen,3.66,31219
3860489,Robert Penn,3.95,2412
7014283,G.K. Chesterton,3.96,163319
63356,Josh Kilmer-Purcell,3.98,19488
8726,Richard Matheson,3.97,344211
1730,Umberto Eco,3.96,557463
3957,Alan Jacobs,4.02,9043
16024,Greg Bear,3.86,566982
6447537,R.R. Haywood,4.29,43081
133131,Duncan J. Watts,3.84,5568
2860219,Seanan McGuire,4.02,496444
53501,George R. Stewart,3.97,26638
26,Anne McCaffrey,4.08,1073201
14032,Connie Willis,3.93,208962
272429,Adrian Bejan,3.73,516
10538,Carl Sagan,4.23,409657
4220886,Timothy Ferris,4.12,8833
500,Jorge Luis Borges,4.29,252921
2778055,Kurt Vonnegut Jr.,4.06,2476324
232366,Peggy Klaus,3.63,1547
7113,Anne Lamott,4.01,275902
109289,David Bayles,3.73,71140
28129,Theodore Zeldin,3.99,2072
14035655,Alex Honnold,3.87,7018
21475,Pat Frank,4.07,39333
4829,Donald Miller,3.97,187265
696805,Jules Verne,3.89,760112
44037,Vernor Vinge,4.08,124612
15811,Rebecca Solnit,3.99,103155
1455,Ernest Hemingway,3.83,2072229
5735,Anthony Burgess,3.99,669551
6025722,Walter M. Miller Jr.,3.97,97152
4764,Philip K. Dick,3.92,1076137
12667,Jess Walter,3.69,189497
6540057,Andy Weir,4.26,1020737
16612158,Masaji Ishikawa,4.26,39622
3089156,Randall Munroe,4.15,157150
7717,Richard  Adams,4.04,459791
378554,Andrew Mayne,4.09,102052
4805000,Mishka Shubaly,3.65,7154
3472,Margaret Atwood,4.03,2744791
3371,Dave Eggers,3.71,682081
3087199,A.G. Riddle,3.91,208118
7956,Mary Roach,3.95,369006
61788,Marc Levy,3.78,127009
7456960,Marc Goodman,3.93,3647
442240,Blake Crouch,4.04,642230
33919,Jeff VanderMeer,3.70,343297
4,Douglas Adams,4.20,2741348
3064305,Hugh Howey,4.15,583352
18237,Peter Lynch,4.16,29061
8865,Mary Karr,3.93,102320
1825,Harper Lee,4.23,4715665
4039811,Veronica Roth,4.06,5457199
589,Orson Scott Card,4.09,2654629
23613,Emma Donoghue,3.97,876824
706255,Stieg Larsson,4.16,4274633
1439,Malcolm Gladwell,4.01,2102034
4178,Cormac McCarthy,4.01,1202146
2546,Chuck Palahniuk,3.83,1506838
7,Bill Bryson,4.03,1339326
498072,Audrey Niffenegger,3.93,1677770
3190,F. Scott Fitzgerald,3.91,4122332
585,John Steinbeck,3.94,3735349
1235,Jon Krakauer,4.04,1549694
1077326,J.K. Rowling,4.46,25544259
11139,Mary Wollstonecraft Shelley,3.81,1188393
11072,Daniel Keyes,4.14,502167
3706,George Orwell,4.08,6246899
153394,Suzanne Collins,4.26,11752867
133538,Christopher McDougall,4.27,179160
1285555,José Saramago,4.03,419685
2617,Jonathan Safran Foer,3.96,663605
2849,David Sedaris,4.00,1805815
3058,Augusten Burroughs,3.81,611287
3487,Aldous Huxley,3.99,1717265
13974,Mark Z. Danielewski,4.01,149148
819789,J.D. Salinger,3.84,3107593
3167,Joseph Heller,3.97,741996
45003,Ken Jennings,3.83,14989
4470653,S.J. Watson,3.85,305246
401,Robert M. Pirsig,3.77,204080
630,Dan Brown,3.84,7006012
