id,isbn,isbn13,title,num_pages,partOf_series,series_id,publisher,publication_year,avg_rating,ratings_cnt,author_id,date_added,start_date,finish_date,myRating,myReview,readStatus
3531518905,1642970174,9781642970173,Be Kind,112,,,Hampton Roads Publishing,2019,4.24,25,570218,2020-09-04,,,0,,to-read
3518309677,1596872152,9781596872158,"Aurora (Isaac Asimov's Robot Mystery, #3)",432,,,iBooks,2005,3.79,97,261107,2020-08-27,,,0,,to-read
3518288696,1439107955,9781439107959,The Emperor of All Maladies: A Biography of Cancer,571,,,Scribner,2010,4.29,80024,3032451,2020-08-27,,,0,,to-read
3518284735,1500497444,9781500497446,The Joy of Game Theory: An Introduction to Strategic Thinking,,,,,,3.84,25,6152615,2020-08-27,,,0,,to-read
3516077678,1101984651,9781101984659,Good Clean Fun: Misadventures in Sawdust at Offerman Woodshop,352,,,Dutton Books,2016,4.06,2058,7014875,2020-08-26,2020-08-26,,0,,currently-reading
3516077007,0735220085,9780735220089,The Inflammation Spectrum: Find Your Food Triggers and Reset Your System,336,,,Avery Publishing Group,2019,3.74,320,4864700,2020-08-26,2020-08-26,2020-09-03,3,,read
3516056465,8497597729,9788497597722,Insomnia,890,,,Debolsillo,2005,3.82,133787,3389,2020-08-26,,2018-01-01,0,,read
3515176039,0141182342,9780141182346,The Call of Cthulhu and Other Weird Stories,420,,,Penguin Classics,1999,4.22,36553,9494,2020-08-25,,,0,,to-read
3515175718,1926801059,9781926801056,The Call of Cthulhu,,,,,,4.02,38347,9494,2020-08-25,,,0,,to-read
3515173366,0735222975,9780735222977,You Are a Badass at Making Money: Master the Mindset of Wealth,267,,,Viking,2017,3.97,15640,69641,2020-08-25,,,0,,to-read
3515173033,0307346609,9780307346605,World War Z: An Oral History of the Zombie War,342,,,Crown,2006,4.01,436260,5791,2020-08-25,,,0,,to-read
3515172782,0060987103,9780060987107,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",406,,,William Morrow Paperbacks,2000,3.53,570976,7025,2020-08-25,,,0,,to-read
3515172501,0307269191,9780307269195,What I Talk About When I Talk About Running,188,,,Knopf Publishing Group,2008,3.85,104747,3354,2020-08-25,,,0,,to-read
3515172242,1439148503,9781439148501,Under the Dome,1074,,,Scribner,2009,3.91,255979,3389,2020-08-25,,,0,,to-read
3515172033,1623366909,9781623366902,"What Doesn't Kill Us: How Freezing Water, Extreme Altitude, and Environmental Conditioning Will Renew Our Lost Evolutionary Strength",288,,,Rodale Books,2017,4.13,4499,7210762,2020-08-25,,,0,,to-read
3515171846,0930289234,9780930289232,Watchmen,416,,,DC Comics,2005,4.36,485186,3961,2020-08-25,,,0,,to-read
3515171623,0316261254,9780316261258,Underground Airlines,336,,,Mulholland Books,2017,3.83,22533,735413,2020-08-25,,,0,,to-read
3515171114,098134741X,9780981347417,"Uncorked : My year in Provence studying pétanque, discovering Chagall, drinking pastis, and mangling French",164,,,Sea to Sky Books,2017,3.81,406,16247987,2020-08-25,,,0,,to-read
3515170089,0345915593,9780345915597,The World According to Garp,610,,,,,4.09,203946,3075,2020-08-25,,,0,,to-read
3515169837,1501132938,9781501132933,The Woman in Cabin 10,341,,,Scout Press,2016,3.70,367339,9013543,2020-08-25,,,0,,to-read
3515169619,0956437338,9780956437334,Rory Sutherland: The Wiki Man,,,,,,4.25,110,6480560,2020-08-25,,,0,,to-read
3515169314,0812511816,9780812511819,"The Eye of the World (The Wheel of Time, #1)",814,,,Tor Books,1990,4.17,386558,6252,2020-08-25,,,0,,to-read
3515169111,0765326353,9780765326355,"The Way of Kings (The Stormlight Archive, #1)",1007,,,Tor Books,2010,4.64,296319,38550,2020-08-25,,,0,,to-read
3515168875,0743468422,9780743468428,"Shards of Honour  (Vorkosigan Saga, #1)",253,,,Earthlight,2003,4.10,29158,16094,2020-08-25,,,0,,to-read
3515168477,0450488357,9780450488351,The Tommyknockers,693,,,New English Library,1988,3.55,124685,3389,2020-08-25,,,0,,to-read
3515167927,0812505042,9780812505047,The Time Machine,125,,,Aerie Books Ltd,1992,3.89,409187,880695,2020-08-25,,,0,,to-read
3515167487,0553296124,9780553296129,"Heir to the Empire (Star Wars: The Thrawn Trilogy, #1)",404,,,Bantam Spectra,1992,4.14,69535,12479,2020-08-25,,,0,,to-read
3515167261,0812551494,9780812551495,"Soul of the Fire (Sword of Truth, #5)",788,,,Tor Fantasy,2000,3.86,61712,3441,2020-08-25,,,0,,to-read
3515167003,0553293435,9780553293432,"The Stars, Like Dust (Galactic Empire, #1)",304,,,Spectra,1991,3.74,16851,16667,2020-08-25,,,0,,to-read
3515166541,0007157150,9780007157150,"Out of the Silent Planet (The Space Trilogy, #1)",224,,,HarperCollins,2005,3.92,73724,1069006,2020-08-25,,,0,,to-read
3515166203,0618391118,9780618391110,The Silmarillion,386,,,Houghton Mifflin Company,2004,3.93,216052,656983,2020-08-25,,,0,,to-read
3515165947,0374229171,9780374229177,The Silence of Animals: On Progress and Other Modern Myths,240,,,"Farrar, Straus and Giroux",2013,3.89,1052,3312074,2020-08-25,,,0,,to-read
3515165610,1857231511,9781857231519,"The Sword of Shannara (The Original Shannara Trilogy, #1)",726,,,Orbit,1999,3.75,84782,9629,2020-08-25,,,0,,to-read
3515165300,0753820250,9780753820254,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",520,,,Phoenix Press,2005,4.27,457055,815,2020-08-25,,,0,,to-read
3515164967,1563892278,9781563892271,"Preludes & Nocturnes (The Sandman, #1)",233,,,Vertigo,1998,4.23,207404,1221698,2020-08-25,,,0,,to-read
3515163368,0307377903,9780307377906,The Righteous Mind: Why Good People Are Divided by Politics and Religion,419,,,Pantheon,2012,4.21,33130,55727,2020-08-25,,,0,,to-read
3515163069,0553564943,9780553564945,"Magician: Apprentice (The Riftwar Saga, #1)",485,,,Bantam Spectra,1994,4.16,82522,8588,2020-08-25,,,0,,to-read
3515162804,0393064980,9780393064988,The Richness of Life: The Essential Stephen Jay Gould,672,,,W. W. Norton  Company,2007,4.24,400,19109,2020-08-25,,,0,,to-read
3515162278,1517088720,9781517088729,The Rich Employee,,,,,,3.75,463,740,2020-08-25,,,0,,to-read
3515161937,0345418263,9780345418265,The Princess Bride,456,,,Ballantine Books,2003,4.26,774369,12521,2020-08-25,,,0,,to-read
3515161743,0316391263,9780316391269,"The Power of When: Discover Your Chronotype--and the Best Time to Eat Lunch, Ask for a Raise, Have Sex, Write a Novel, Take Your Meds, and More",384,,,"Little, Brown Spark",2016,3.56,2119,340262,2020-08-25,,,0,,to-read
3515161248,0440242940,9780440242949,"Outlander (Outlander, #1)",850,,,Dell Publishing Company,2005,4.23,816212,3617,2020-08-25,,,0,,to-read
3515161011,0441627404,9780441627400,"The Once and Future King (The Once and Future King, #1-4)",639,,,Ace,1987,4.06,98109,426944,2020-08-25,,,0,,to-read
3515160341,156865054X,9781568650548,"The Mote in God's Eye (Moties, #1)",596,,,Spectrum Literary Agency,2011,4.08,62438,12534,2020-08-25,,,0,,to-read
3515160158,0340837942,9780340837948,The Moon Is a Harsh Mistress,288,,,Hodder & Stoughton,2005,4.16,110818,205,2020-08-25,,,0,,to-read
3515159701,0805211039,9780805211030,The Monk and the Philosopher: A Father and Son Discuss the Meaning of Life,384,,,Schocken,2000,4.14,1338,639570,2020-08-25,,,0,,to-read
3515159329,0345350499,9780345350497,"The Mists of Avalon (Avalon, #1)",884,,,Ballantine Books,1984,4.12,189918,4841825,2020-08-25,,,0,,to-read
3515159094,076531178X,9780765311788,"The Final Empire (Mistborn, #1)",544,,,Tor Books,2006,4.45,395444,38550,2020-08-25,,,0,,to-read
3515158866,0553278223,9780553278224,The Martian Chronicles,182,,,Bantam/Spectra,1984,4.14,208799,1630,2020-08-25,,,0,,to-read
3515158382,0553560735,9780553560732,"Red Mars (Mars Trilogy, #1)",572,,,Spectra Books,1993,3.85,66613,1858,2020-08-25,,,0,,to-read
3515158091,0765348780,9780765348784,"Gardens of the Moon (Malazan Book of the Fallen, #1)",657,,,Tor Books,2005,3.88,89109,31232,2020-08-25,,,0,,to-read
3515157732,1559210222,9781559210225,Living Reed: A Novel of Korea,480,,,Moyer Bell and its subsidiaries,2004,4.11,1426,704,2020-08-25,,,0,,to-read
3515157401,0786939532,9780786939534,"Homeland (Forgotten Realms: The Dark Elf Trilogy, #1; Legend of Drizzt, #1)",343,,,Wizards of the Coast,2005,4.25,72956,1023510,2020-08-25,,,0,,to-read
3515156985,0441478123,9780441478125,The Left Hand of Darkness  (Hainish Cycle #4),330,,,Ace,2010,4.07,118885,874602,2020-08-25,,,0,,to-read
3515156581,1600108512,9781600108518,The Last Unicorn,167,,,IDW,2011,4.34,8354,1067608,2020-08-25,,,0,,to-read
3515156236,076539653X,9780765396532,Kushiel’s Legacy:,2112,,,Tor Books,2016,4.64,135,9237,2020-08-25,,,0,,to-read
3515153002,075640407X,9780756404079,"The Name of the Wind (The Kingkiller Chronicle, #1)",662,,,Penguin Group DAW,2007,4.53,707337,108424,2020-08-25,,,0,,to-read
3515152405,1523231467,9781523231461,The Irrationality Illusion: How To Make Smart Decisions And Overcome Bias,,,,,,3.80,15,6152615,2020-08-25,,,0,,to-read
3515152154,000712774X,9780007127740,The Illustrated Man,186,,,Voyager Classics / Harper Collins,2002,4.13,78041,1630,2020-08-25,,,0,,to-read
3515151950,0553283685,9780553283686,"Hyperion (Hyperion Cantos, #1)",482,,,Bantam Spectra,1990,4.23,184989,2687,2020-08-25,,,0,,to-read
3515151771,1566630193,9781566630191,The Hedgehog and the Fox: An Essay on Tolstoy's View of History,96,,,Ivan R. Dee Publisher,1993,4.10,1327,45752,2020-08-25,,,0,,to-read
3515151006,1863955321,9781863955324,The Hall of Uselessness: Collected Essays,464,,,Black Inc.,2011,4.26,300,269491,2020-08-25,,,0,,to-read
3515150768,1250118719,9781250118714,The Forgetting Time,368,,,Flatiron Books,2016,3.80,27352,13975392,2020-08-25,,,0,,to-read
3515150445,0060510862,9780060510862,"The Forever War (The Forever War, #1)",278,,,Voyager,2003,4.14,137892,12476,2020-08-25,,,0,,to-read
3515150191,1780481012,9781780481012,The Farseer Trilogy (Farseer Trilogy #1-3),1952,,,Harper Voyager,2013,4.37,18604,25307,2020-08-25,,,0,,to-read
3515149764,0142001805,9780142001806,"The Eyre Affair (Thursday Next, #1)",374,,,Penguin Group,2003,3.88,117786,4432,2020-08-25,,,0,,to-read
3515149002,0441203981,9780441203987,"Elric of Melniboné (The Elric Saga, #1)",181,,,Ace Books,1987,3.89,22851,16939,2020-08-25,,,0,,to-read
3515148739,0340839937,9780340839935,"Dune (Dune Chronicles, #1)",604,,,Hodder & Stoughton,2006,4.23,748849,58,2020-08-25,,,0,,to-read
3515148528,,,"The Dispossessed (Hainish Cycle, #6)",387,,,Harper Voyager,1994,4.21,86219,874602,2020-08-25,,,0,,to-read
3515148335,0553380966,9780553380965,"The Diamond Age: Or, A Young Lady's Illustrated Primer",499,,,Spectra,2000,4.17,82098,545,2020-08-25,,,0,,to-read
3515146770,9123690976,9789123690978,Iain m banks culture series 10 books collection set,,,,,,4.61,18,5807106,2020-08-25,,,0,,to-read
3515146014,0060548258,9780060548254,"The Crystal Cave (Arthurian Saga, #1)",494,,,Eos,2003,4.13,41716,15590,2020-08-25,,,0,,to-read
3515145689,1302915029,9781302915025,"Conan the Barbarian, Vol. 1: The Life and Death of Conan, Book One",144,,,Marvel,2019,4.05,474,580494,2020-08-25,,,0,,to-read
3515144860,3200306955,9783200306950,"The Codex Alera (Codex Alera, #1-6)",,,,,,4.61,969,10746,2020-08-25,,,0,,to-read
3515143588,0380014300,9780380014309,Nine Princes in Amber (The Chronicles of Amber #1),175,,,Avon,1986,4.07,50590,3619,2020-08-25,,,0,,to-read
3515143212,030727103X,9780307271037,The Buried Giant,317,,,Alfred A. Knopf,2015,3.51,71707,4280,2020-08-25,,,0,,to-read
3515143015,067003830X,9780670038305,The Brain that Changes Itself: Stories of Personal Triumph from the Frontiers of Brain Science,427,,,Viking,2007,4.19,30477,311849,2020-08-25,,,0,,to-read
3515142582,0671540661,9780671540661,"The Shadow of the Torturer (The Book of the New Sun, #1)",262,,,Pocket Books,1984,3.80,21394,23069,2020-08-25,,,0,,to-read
3515142343,0345468643,9780345468642,"Pawn of Prophecy (The Belgariad, #1)",,,,,,4.15,93262,8732,2020-08-25,,,0,,to-read
3515142061,0062315005,9780062315007,The Alchemist,182,,,HarperOne,2014,3.88,2086441,566,2020-08-25,,,0,,to-read
3515141891,1937832058,9781937832056,Tax-Free Wealth: How to Build Massive Wealth by Permanently Lowering Your Taxes,282,,,"RDA Press, LLC",2015,4.25,945,5391363,2020-08-25,,,0,,to-read
3515141610,0385528752,9780385528757,Switch: How to Change Things When Change Is Hard,305,,,Currency,2010,4.04,42198,39021,2020-08-25,,,0,,to-read
3515141304,0515138819,9780515138818,Sunshine,405,,,Jove,2004,3.85,36838,5339,2020-08-25,,,0,,to-read
3515140866,0525429840,9780525429845,Streetfight: Handbook for an Urban Revolution,368,,,Viking,2016,4.29,1129,10449476,2020-08-25,,,0,,to-read
3515140594,0441788386,9780441788385,Stranger in a Strange Land,525,,,Ace,1991,3.92,274231,205,2020-08-25,2020-08-26,,0,,currently-reading
3515139862,0451457811,9780451457813,"Storm Front (The Dresden Files, #1)",384,,,Penguin ROC,2000,4.00,288859,10746,2020-08-25,,,0,,to-read
3515139698,0375725350,9780375725357,Status Anxiety,306,,,Vintage,2005,3.91,12738,13199,2020-08-25,,,0,,to-read
3515139367,0441783589,9780441783588,Starship Troopers,335,,,Ace Book,1987,4.00,190198,205,2020-08-25,,,0,,to-read
3515139004,0786175354,9780786175352,Something Wicked This Way Comes & A Sound of Thunder,8,,,Blackstone Audio,2005,4.04,560,1630,2020-08-25,,,0,,to-read
3515138111,1455509108,9781455509102,So Good They Can't Ignore You: Why Skills Trump Passion in the Quest for Work You Love,288,,,Business Plus,2012,4.11,26559,147891,2020-08-25,,,0,,to-read
3515137825,0553380958,9780553380958,Snow Crash,438,,,Bantam Books,2000,4.02,235695,545,2020-08-25,,,0,,to-read
3515137681,0552152978,9780552152976,"Small Gods (Discworld, #13)",400,,,Corgi,2005,4.30,98831,1654,2020-08-25,,,0,,to-read
3515137533,150116340X,9781501163401,Sleeping Beauties,702,,,Scribner,2017,3.73,63340,3389,2020-08-25,,,0,,to-read
3515137241,1623367395,9781623367398,"Sleep Smarter: 21 Essential Strategies to Sleep Your Way to A Better Body, Better Health, and Bigger Success",288,,,Rodale Books,2016,4.03,4783,8284103,2020-08-25,,,0,,to-read
3515136903,1682617149,9781682617144,Behind the Murder Curtain: Special Agent Bruce Sackman Hunts Doctors and Nurses Who Kill Our Veterans,208,,,Post Hill Press,2018,3.81,52,17833805,2020-08-25,,,0,,to-read
3515136692,1101913967,9781101913963,Skyfaring: A Journey with a Pilot,,,,Random House Audio,2015,3.94,2927,8393515,2020-08-25,,,0,,to-read
